Path;Travel weight;Elapsed time;Best solution;Deviation;Algorithm
7 1 4 2 3 6 5 7 ;128;0,0224992;128;-12900;TspBabBfs
7 1 4 2 3 6 5 7 ;128;0,0282698;128;-12900;TspBabBestFs
1 4 3 6 2 5 7 1 ;100;0,0473893;100;-10100;DfsBruteForce
7 6 2 5 4 3 1 7 ;111;0,0001195;111;-11200;TspNN
4 3 6 2 5 7 1 4 ;100;30;100;-10100;TspRand
7 1 4 3 6 2 5 7 ;100;0,0126579;100;-10100;TspBabDfs
7 1 4 3 6 2 5 7 ;100;0,0159858;100;-10100;TspBabBfs
7 1 4 3 6 2 5 7 ;100;0,0155581;100;-10100;TspBabBestFs
1 2 5 3 6 7 4 1 ;63;0,0470906;63;-6400;DfsBruteForce
2 5 3 4 1 6 7 2 ;72;0,0001166;72;-7300;TspNN
3 6 7 4 1 2 5 3 ;63;30;63;-6400;TspRand
7 4 1 2 5 3 6 7 ;63;0,0039073;63;-6400;TspBabDfs
7 4 1 2 5 3 6 7 ;63;0,0043858;63;-6400;TspBabBfs
7 4 1 2 5 3 6 7 ;63;0,0046252;63;-6400;TspBabBestFs
1 7 5 6 3 2 4 1 ;92;0,0461801;92;-9300;DfsBruteForce
5 6 3 2 4 1 7 5 ;92;0,0001177;92;-9300;TspNN
3 2 4 1 7 5 6 3 ;92;30;92;-9300;TspRand
7 5 6 3 2 4 1 7 ;92;0,0104177;92;-9300;TspBabDfs
7 5 6 3 2 4 1 7 ;92;0,0099771;92;-9300;TspBabBfs
7 5 6 3 2 4 1 7 ;92;0,0122598;92;-9300;TspBabBestFs
1 6 7 2 3 5 4 1 ;67;0,0466917;67;-6800;DfsBruteForce
7 2 3 5 4 1 6 7 ;67;0,0001179;67;-6800;TspNN
6 7 2 3 5 4 1 6 ;67;30;67;-6800;TspRand
7 2 3 5 4 1 6 7 ;67;0,0083884;67;-6800;TspBabDfs
7 2 3 5 4 1 6 7 ;67;0,008013;67;-6800;TspBabBfs
7 2 3 5 4 1 6 7 ;67;0,0102774;67;-6800;TspBabBestFs
